Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,rail travel uk,legal services - legal services,"personal expense, name withheld",155911,14.8,Legal Services Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155911,5.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155911,10.37,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,mileage allowance uk,legal services - legal services,"personal expense, name withheld",155912,156.6,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,legal services - legal services,"personal expense, name withheld",155912,6.0,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,legal services - legal services,"personal expense, name withheld",155912,9.85,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155912,5.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155912,11.95,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,taxi services uk,legal services - legal services,"personal expense, name withheld",155912,6.7,Legal Services Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,business and science - disabled - available for future use,"personal expense, name withheld",155914,3.64,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,business and science - disabled - available for future use,"personal expense, name withheld",155914,3.8,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,mileage allowance uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",155915,40.59,FCDT Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,"people, strategy and higher education - communications directorate","personal expense, name withheld",155916,5.0,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,"people, strategy and higher education - communications directorate","personal expense, name withheld",155916,5.0,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,"people, strategy and higher education - communications directorate","personal expense, name withheld",155916,15.0,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,taxi services uk,"people, strategy and higher education - communications directorate","personal expense, name withheld",155916,78.36,PSHE Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,mileage allowance uk,legal services - legal services,"personal expense, name withheld",155917,20.7,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,mileage allowance uk,legal services - legal services,"personal expense, name withheld",155918,20.7,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,legal services - legal services,"personal expense, name withheld",155920,9.7,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,legal services - legal services,"personal expense, name withheld",155920,29.58,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155920,15.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,subsistence uk,legal services - legal services,"personal expense, name withheld",155920,60.0,Legal Services Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,taxi services uk,legal services - legal services,"personal expense, name withheld",155920,17.4,Legal Services Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,other travel,legal services - legal services,"personal expense, name withheld",155921,8.9,Default-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,taxi services uk,legal services - legal services,"personal expense, name withheld",155921,7.0,Default-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other travel,government office for science -  government office for science,"personal expense, name withheld",155935,25.0,Other Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,taxi services uk,government office for science -  government office for science,"personal expense, name withheld",155935,77.95,Other Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,current grants to private sector - npish,business and science - business innovation,design council,155951,289255.0,Design Council-Current Grants To Private Sector - NPISH,ec1v 4ab,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,application support service,"finance, commercial & digital transformation - digital directorate",cloud technology solutions ltd,155953,10080.0,FCDT Devolved Admin-Application Support Service,m2 3aw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,irwin mitchell llp,155954,1687.12,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,ne1 4td,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,publications,business and science - disabled - available for future use,jones yarrell leadenhall,155957,15.25,PSHE Devolved Admin-Publications,eh12 9dj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,corporate event management and marketing,government office for science -  government office for science,the royal society,155958,2442.9,Foresight: CSA Priorities & Science Capability-Corporate Event Management and Marketing,sw1y 5ag,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,telephone helpline services,business and science - business innovation,language line ltd t/a language line solutions,155959,49.4,Growth Accelerator-Telephone Helpline Services,e14 5nr,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,application support service,"finance, commercial & digital transformation - digital directorate",cloud technology solutions ltd,155960,10920.0,FCDT Devolved Admin-Application Support Service,m2 3aw,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,wixted & co ltd,155962,4816.8,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,sw18 1np,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,r & d other professional services,government office for science -  government office for science,professor karen evans,155963,250.0,Foresight: Skills-R & D Other Professional Services,rh20 2jr,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,irwin mitchell llp,155966,181.84,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,ne1 4td,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,grant-in-aid to arms length bodies,business and science - science and research,science and technology facilities council,155978,91000000.0,STFC Financing-Grant-In-Aid to Arms Length Bodies,sn2 1sz,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,current grants to private sector - npish,"skills, deregulation and local growth - vocational education directorate",national learning and work institute,155992,426067.25,Learning and Work Institute-Current Grants To Private Sector - NPISH,le1 7ge,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,consultancy expenditure,"skills, deregulation and local growth - cities and local growth",brook street (uk) ltd,155993,364.32,BLG Devolved Admin-Consultancy Expenditure,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,electricity,"finance, commercial & digital transformation - estates",enviroenergy ltd,155994,3089.4,FCDT Devolved Admin-Electricity,ng2 3ab,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-19,rentals under non-pfi operating leases - buildings,"finance, commercial & digital transformation - estates",gva grimley ltd,155996,25678.88,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,b1 2jj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,gas,"finance, commercial & digital transformation - estates",stockton borough council,155997,146.39,FCDT Devolved Admin-Gas,ts19 1ja,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,gas,"finance, commercial & digital transformation - estates",stockton borough council,155997,202.44,FCDT Devolved Admin-Gas,ts19 1ja,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,recruitment advice and services,"people, strategy and higher education - human resources",brook street (uk) ltd,155998,417.36,PSHE Devolved Admin-Recruitment Advice and Services,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,consultancy expenditure,economics & markets - business frameworks & regional growth fund,brook street (uk) ltd,156000,510.8,E&M Devolved Admin-Consultancy Expenditure,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,current grants to private sector - npish,economics & markets - consumer and competition policy,citizens advice bureau,156002,456812.0,Advocacy on Energy and Postal Issues (Levy Funded)-Current Grants To Private Sector - NPISH,n1 9lz,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,current grants to private sector - npish,economics & markets - consumer and competition policy,citizens advice bureau,156002,728833.0,Citizens Advice Consumer Helpline-Current Grants To Private Sector - NPISH,n1 9lz,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,current grants to private sector - npish,economics & markets - consumer and competition policy,citizens advice bureau,156002,1860334.0,Citizens Advice Core Grant-Current Grants To Private Sector - NPISH,n1 9lz,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,electricity,"finance, commercial & digital transformation - estates",enviroenergy ltd,156006,4955.16,FCDT Devolved Admin-Electricity,ng2 3ab,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,water,"finance, commercial & digital transformation - estates",essex and suffolk water ltd,156007,585.13,LSC Properties-Water,dh1 9tx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,it services,"finance, commercial & digital transformation - digital directorate",xma ltd,156009,27.6,FCDT Devolved Admin-IT Services,ng11 7ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,capital grants to private sector - companies,economics & markets - business frameworks & regional growth fund,network space developments ltd,156010,70433.18,EX RDA Portfolio Management Office-Capital Grants to Private Sector - Companies,wa12 9uy,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,security clearance costs,"finance, commercial & digital transformation - digital directorate",fco services,156011,9131.0,FCDT Devolved Admin-Security Clearance Costs,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-15,hire of interim managers,"finance, commercial & digital transformation - digital directorate",brook street (uk) ltd,156012,870.64,FCDT Devolved Admin-Hire of Interim Managers,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,hire of agency staff,"finance, commercial & digital transformation - digital directorate",brook street (uk) ltd,156014,597.24,FCDT Devolved Admin-Hire of Agency Staff,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,consultancy expenditure,"skills, deregulation and local growth - cities and local growth",brook street (uk) ltd,156016,128.96,BLG Devolved Admin-Consultancy Expenditure,al1 4zx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,security clearance costs,"finance, commercial & digital transformation - digital directorate",fco services,156017,3949.0,FCDT Devolved Admin-Security Clearance Costs,mk19 7bh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,gas,"finance, commercial & digital transformation - estates",stockton borough council,156018,59.45,FCDT Devolved Admin-Gas,ts19 1ja,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,gas,"finance, commercial & digital transformation - estates",stockton borough council,156018,112.97,FCDT Devolved Admin-Gas,ts19 1ja,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,current grants to private sector - npish,economics & markets - consumer and competition policy,trading standards institute (tsi),156027,71958.71,CTSI: Business Education and Consumer Codes-Current Grants To Private Sector - NPISH,ss15 6th,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,minor works,"finance, commercial & digital transformation - estates",arcadis solutions ltd,156029,14488.3,FCDT Devolved Admin-Minor Works,m60 3nt,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,computer consumables,legal services - legal services,pitney bowes finance ltd,156034,245.2,Legal Services Admin-Computer Consumables,al10 9uj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,current grants to private sector - npish,"skills, deregulation and local growth - vocational education directorate",the institution for further education,156035,100000.0,Quality Improvement Reform-Current Grants To Private Sector - NPISH,sw1h 0nf,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rentals under non-pfi operating leases - buildings,"finance, commercial & digital transformation - estates",gva grimley ltd,156036,118110.79,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,b1 2jj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156044,117.51,RD: Heat networks-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,air travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156045,4.0,RD: Gas and Electricity Meters-Air Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156045,16.04,RD: Gas and Electricity Meters-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156045,7.8,RD: Gas and Electricity Meters-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156072,10.05,RD: Waste batteries-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156072,3.0,RD: Waste batteries-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,leasing of motor vehicles,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156073,69.52,Default-Leasing of Motor Vehicles,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156073,70.05,Default-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156073,7.7,Default-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156073,42.33,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156073,11.0,Default-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156074,9.9,RD: Epliant-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,air travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156074,1.5,RD: Timber Regulations-Air Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156074,46.9,RD: Timber Regulations-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,office supplies,legal services - legal services,"personal expense, name withheld",156075,10.0,Legal Services Admin-Office Supplies,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"people, strategy and higher education - ministerial and parliamentary support team","personal expense, name withheld",156076,14.53,PSHE Devolved Admin-Taxi Services UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other professional services,"finance, commercial & digital transformation - finance directoreate",nurole ltd,156082,500.0,FCDT Devolved Admin-Other Professional Services,w11  2lr,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,research and development expenditure,"skills, deregulation and local growth - vocational education directorate",icf consulting services ltd.,156085,19250.0,Research And Analytical Services-Research and Development Expenditure,sw6 5nr,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,roberts jackson ltd,156088,3249.49,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,sk9 5er,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,roberts jackson ltd,156089,4973.57,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,sk9 5er,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,hire of agency staff,"skills, deregulation and local growth - apprentiship directorate",brook street (uk) ltd,156098,844.2,SDLG Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,hire of agency staff,"finance, commercial & digital transformation - finance directoreate",brook street (uk) ltd,156099,942.55,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,hire of agency staff,"finance, commercial & digital transformation - finance directoreate",brook street (uk) ltd,156100,1019.06,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,hire of agency staff,"finance, commercial & digital transformation - finance directoreate",brook street (uk) ltd,156101,904.5,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,hire of agency staff,"finance, commercial & digital transformation - finance directoreate",brook street (uk) ltd,156102,997.28,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,hire of agency staff,"finance, commercial & digital transformation - finance directoreate",brook street (uk) ltd,156103,892.44,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other telephone costs,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156104,27.69,E&M Devolved Admin-Other Telephone Costs,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,stationery,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156107,14.79,"RD: Waste electrical and electronic equipment, Noise emissions and End of life v-Stationery",unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,air travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156109,2.2,Default-Air Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,leasing of motor vehicles,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156109,49.95,Default-Leasing of Motor Vehicles,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156109,28.57,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156112,156.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156112,165.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156113,156.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156113,165.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156114,165.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156115,156.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,publications,"people, strategy and higher education - ministerial and parliamentary support team",the stationery office ltd,156115,165.0,PSHE Devolved Admin-Publications,nr3 1qz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-13,hire of agency staff,"finance, commercial & digital transformation - digital directorate",brook street (uk) ltd,156116,815.18,FCDT Devolved Admin-Hire of Agency Staff,al1 4jb,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,hire of interim managers,"finance, commercial & digital transformation - projects & commercial directorate",monro consulting ltd,156117,23739.0,FCDT Devolved Admin-Hire of Interim Managers,ba1 3np,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,consultancy expenditure,"skills, deregulation and local growth - vocational education directorate",w3 advisory ltd,156122,20160.0,Quality Improvement Reform-Consultancy Expenditure,ss6 8th,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,external legal advice and service,legal services - legal services,government legal department,156125,46.5,Litigation and Government Legal Department-External Legal Advice and Service,sw1h 9js,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,external legal advice and service,legal services - legal services,government legal department,156125,100.0,Litigation and Government Legal Department-External Legal Advice and Service,sw1h 9js,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,external legal advice and service,legal services - legal services,government legal department,156126,671.65,Litigation and Government Legal Department-External Legal Advice and Service,sw1h 9js,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,external legal advice and service,legal services - legal services,government legal department,156126,11025.96,Litigation and Government Legal Department-External Legal Advice and Service,sw1h 9js,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,utilisation of provisions - purchase of goods & services - other,business and science - advanced manufacturing,asons solicitors ltd,156133,1687.8,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,bl1 2ax,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,hire of interim managers,"finance, commercial & digital transformation - digital directorate",dystinct consulting ltd,156137,2148.0,FCDT Devolved Admin-Hire of Interim Managers,n12 0dr,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,training and development expenditure,government office for science -  government office for science,the whitehall and industry group,156138,450.0,Other Devolved Admin-Training And Development Expenditure,sw1h 9aa,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,application support service,"finance, commercial & digital transformation - digital directorate",cgi it uk ltd,156139,19343.28,FCDT Devolved Admin-Application Support Service,cf31 9ap,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,application support service,"finance, commercial & digital transformation - digital directorate",cgi it uk ltd,156140,22455.35,FCDT Devolved Admin-Application Support Service,cf31 9ap,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,legal services - legal services,"personal expense, name withheld",156142,73.35,Legal Services Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,postage,legal services - legal services,"personal expense, name withheld",156142,13.63,Legal Services Admin-Postage,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,government office for science -  government office for science,"personal expense, name withheld",156143,5.0,Other Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,government office for science -  government office for science,"personal expense, name withheld",156143,22.9,Other Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,mileage allowance uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156144,16.2,Default-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156144,4.75,Default-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156144,8.5,Default-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,postage,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156144,2.06,Default-Postage,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",156144,5.0,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,4.8,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,18.45,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,22.45,SDLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,13.74,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,30.0,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",156145,13.0,SDLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-12,other travel,business and science - advanced manufacturing,"personal expense, name withheld",156147,6.3,B&S Devolved Admin-Other Travel,unknown,employee,2016,7
